Name: Student 1606, Score: 82.00
Name: Student 2851, Score: 45.60
Name: Student 3129, Score: 73.00
Name: Student 3441, Score: 67.67
Name: Student 4134, Score: 61.62
Name: Student 4250, Score: 11.50
Name: Student 5003, Score: 33.67
Name: Student 5093, Score: 19.33
Name: Student 5775, Score: 72.00
Name: Student 6152, Score: 86.00
Name: Student 7348, Score: 42.50
Name: Student 7553, Score: 23.67
Name: Student 7652, Score: 60.43
Name: Student 7909, Score: 49.00
Name: Student 8600, Score: 47.00
Name: Student 9096, Score: 43.86
Name: Student 9272, Score: 50.00
Name: Student 9312, Score: 62.33
Name: Student 9622, Score: 48.33
