985 812771
5981 -4991 753981
2504 4951 56199
9146 -9914 447091
-8910 -2894 538969
4390 -533 20946
-1744 8953 875452
-7847 -6456 294421
5581 7378 748622
-366 -554 925172
-1390 7245 690980
2121 -6613 567366
-1508 -9690 369278
-8964 9135 190751
-6817 -583 455398
-4650 3466 742762
-5524 2144 12812
-5704 7378 191800
-4442 -133 117576
-4148 6677 169359
-6572 6390 534708
-1392 7350 257611
-8639 9558 45851
1718 9197 895143
-5509 4737 658385
-4358 -5961 448566
1803 -4139 676108
8608 -3320 816328
-7534 1737 124913
-2707 -1796 70486
-695 6227 468810
-6052 -3921 260813
-3010 -8062 562561
6550 7367 522208
-6480 6395 120791
-5380 -8681 33469
-1259 -2547 70297
1990 -88 343038
1844 -3698 335517
1351 -52 349262
-1284 -3036 646838
-1590 8548 282757
-2203 -912 435216
7103 -1502 906710
3161 2603 539481
3077 5729 854235
-2491 2941 693128
4627 6644 35682
-1540 -7109 125100
9963 -1733 352702
-517 7340 315805
178 -930 212973
-9143 -6199 508245
1489 -871 181421
-6247 6117 310359
5031 634 389501
-3724 7232 218665
7012 -5223 739654
-1148 -2355 742767
-3295 1787 539808
4436 6781 90647
4040 371 171457
-4852 -6154 675176
-4243 3444 525842
7822 -959 883520
-7451 -1682 678363
-8496 7451 258612
3415 6180 807658
-2546 3465 430557
-1923 6344 984610
4564 4040 476206
-2536 -7544 998758
3843 -8424 740409
-1339 8200 690100
-2801 9 269293
-7189 7256 186677
-3685 -6488 925081
-7088 -6601 583989
2996 -6814 387700
3668 4887 592030
-8122 9024 630816
5944 217 320338
-7758 -9555 628626
-730 9076 675097
-2633 4797 226941
9506 -4058 513548
3805 -3108 349584
-1225 3946 620785
-3472 -7623 888931
9683 -42 247628
6558 -8360 200092
-4972 -9318 12648
-8205 -3593 777607
-1872 7625 657103
373 -1087 790745
3336 9508 887335
-6007 -8933 465300
-4128 2995 125307
-3835 9410 481591
-9644 2325 739790
6648 -2489 176961
-4368 8917 798321
8732 6072 883481
-8417 8307 482796
1180 1741 427206
6131 -4771 743226
-1022 5293 635502
-2877 -2224 45113
1548 -3983 321305
-9835 6307 33309
8278 -1069 353610
-1670 4542 695676
3146 -1254 274410
5967 6740 587443
1036 -1540 502765
2122 -6300 258155
4546 3435 439958
-6467 6901 724865
8794 -6620 334599
1350 -8366 456813
5555 -3784 902011
156 -8194 578588
7009 9439 625901
1273 -2573 201597
-4692 5176 459356
-9546 5328 440308
-7593 -6019 31434
